CSA	0.5428	0.2959	0.1613	PON	0	1
VNO	0.3931	0.3299	0.2769	BAH	1	1
GRE	0.6032	0.2731	0.1237	NAU	2	0
GUA	0.3667	0.3323	0.3011	CRU	1	0
SPT	0.5635	0.2886	0.1478	LEC	2	0
TOM	0.5687	0.2867	0.1446	CHA	2	1
CRI	0.4800	0.3143	0.2057	VAS	0	1
SCO	0.5230	0.3023	0.1747	ITU	2	0
OPE	0.4755	0.3153	0.2091	SPT	0	0
CRI	0.5675	0.2872	0.1453	PON	1	1
VNO	0.5131	0.3053	0.1816	CSA	1	2
ITU	0.5410	0.2965	0.1625	LEC	0	0
CRB	0.5472	0.2944	0.1584	BRU	1	1
GRE	0.5720	0.2855	0.1425	TOM	3	0
SCO	0.4500	0.3210	0.2290	VAS	3	1
GUA	0.4097	0.3279	0.2624	BAH	0	2
NAU	0.5286	0.3005	0.1709	CHA	1	2
CRU	0.6294	0.2617	0.1089	NOV	2	1
SPT	0.6204	0.2658	0.1139	VNO	0	0
BRU	0.4169	0.3268	0.2562	GRE	1	1
LEC	0.4864	0.3127	0.2010	SCO	1	0
BAH	0.6288	0.2620	0.1092	CRB	1	1
TOM	0.5365	0.2980	0.1655	CRI	1	0
VAS	0.6136	0.2687	0.1177	ITU	1	1
PON	0.5461	0.2948	0.1591	NAU	1	0
CSA	0.3995	0.3292	0.2713	CRU	1	1
CHA	0.5697	0.2864	0.1440	GUA	0	0
NOV	0.5431	0.2958	0.1611	OPE	2	1
SCO	0.5098	0.3062	0.1840	SPT	4	1
CRU	0.5460	0.2948	0.1592	BAH	1	0
GRE	0.6277	0.2625	0.1098	PON	2	1
VNO	0.4049	0.3285	0.2666	VAS	1	0
NAU	0.5031	0.3082	0.1888	LEC	1	2
ITU	0.5285	0.3006	0.1709	CHA	1	0
CRB	0.5272	0.3010	0.1718	NOV	2	1
GUA	0.5034	0.3081	0.1885	BRU	1	1
CRI	0.5555	0.2915	0.1530	CSA	2	1
OPE	0.4726	0.3160	0.2113	TOM	0	0
CHA	0.4100	0.3278	0.2621	GRE	0	0
VAS	0.5821	0.2816	0.1362	CRB	4	0
SPT	0.5931	0.2773	0.1296	GUA	2	1
BAH	0.6593	0.2477	0.0930	NAU	3	0
TOM	0.5323	0.2993	0.1683	SCO	3	0
BRU	0.3919	0.3301	0.2780	CRU	0	0
LEC	0.5127	0.3054	0.1819	CRI	1	1
NOV	0.5674	0.2872	0.1454	VNO	1	1
PON	0.5427	0.2959	0.1614	OPE	3	0
CSA	0.5096	0.3063	0.1841	ITU	1	3
VAS	0.6481	0.2531	0.0988	CHA	0	0
SPT	0.5418	0.2962	0.1619	CRI	1	1
BRU	0.5034	0.3081	0.1885	SCO	1	1
CRB	0.4899	0.3117	0.1983	PON	1	1
OPE	0.5525	0.2926	0.1549	NAU	1	0
GUA	0.3754	0.3316	0.2930	GRE	1	2
NOV	0.5267	0.3011	0.1721	LEC	0	1
BAH	0.6618	0.2464	0.0918	CSA	1	0
CRU	0.6001	0.2744	0.1255	TOM	2	0
VNO	0.4776	0.3148	0.2075	ITU	1	1
ITU	0.5167	0.3042	0.1791	SPT	4	1
GRE	0.6626	0.2461	0.0914	OPE	5	1
PON	0.4248	0.3256	0.2496	VAS	3	1
CSA	0.4998	0.3091	0.1911	BRU	1	0
LEC	0.4060	0.3284	0.2657	CRU	1	2
SCO	0.4349	0.3239	0.2412	BAH	2	0
TOM	0.6056	0.2721	0.1223	VNO	0	0
NAU	0.4993	0.3092	0.1915	CRB	2	1
CHA	0.5347	0.2986	0.1667	NOV	2	2
CRI	0.6079	0.2712	0.1209	GUA	0	0
VNO	0.4918	0.3112	0.1970	LEC	0	0
BRU	0.4897	0.3118	0.1985	PON	2	1
BAH	0.5937	0.2770	0.1293	ITU	2	0
OPE	0.4245	0.3257	0.2498	SCO	1	1
VAS	0.5858	0.2802	0.1340	TOM	3	1
SPT	0.5771	0.2836	0.1394	CSA	4	0
CRU	0.6735	0.2406	0.0859	CHA	1	1
GUA	0.5349	0.2985	0.1666	NAU	1	0
CRB	0.3293	0.3333	0.3374	GRE	2	0
NOV	0.4988	0.3093	0.1918	CRI	3	1
LEC	0.4240	0.3257	0.2503	BAH	1	1
CRI	0.6043	0.2727	0.1231	OPE	2	0
CSA	0.3409	0.3333	0.3259	VAS	2	0
TOM	0.4941	0.3106	0.1953	SPT	1	0
ITU	0.5491	0.2938	0.1571	NOV	1	0
NAU	0.4992	0.3092	0.1916	VNO	1	2
PON	0.5881	0.2793	0.1326	GUA	1	0
CHA	0.5342	0.2987	0.1670	BRU	1	0
SCO	0.5907	0.2782	0.1310	CRB	1	2
GRE	0.5253	0.3016	0.1731	CRU	2	2
SPT	0.5817	0.2818	0.1365	CHA	1	0
NOV	0.5050	0.3076	0.1873	PON	1	1
GRE	0.6321	0.2605	0.1074	ITU	0	1
VNO	0.4835	0.3134	0.2031	SCO	0	0
CRU	0.7235	0.2135	0.0630	NAU	4	0
GUA	0.4405	0.3229	0.2367	TOM	2	1
CRB	0.4971	0.3098	0.1931	CRI	0	0
OPE	0.5123	0.3055	0.1822	CSA	0	0
BRU	0.5071	0.3070	0.1858	LEC	0	1
BAH	0.5523	0.2926	0.1551	VAS	2	1
CHA	0.5500	0.2934	0.1566	VNO	1	2
SPT	0.5977	0.2754	0.1269	NOV	1	0
LEC	0.5626	0.2890	0.1484	CRB	1	0
SCO	0.3726	0.3318	0.2955	CRU	1	1
ITU	0.6472	0.2535	0.0993	OPE	0	0
CRI	0.4243	0.3257	0.2500	GRE	2	0
CSA	0.5817	0.2818	0.1365	NAU	2	0
TOM	0.5840	0.2809	0.1351	BRU	1	0
